step,best_size,current_size,event
1,18,11,seed0-seed
2,18,16,seed0-greedy
3,18,18,seed0-swap
4,18,18,restart0-end
5,19,12,seed1-seed
6,19,17,seed1-greedy
7,19,19,seed1-swap
8,19,19,restart1-end
9,18,9,seed2-seed
10,18,18,seed2-greedy
11,18,18,seed2-swap
12,19,18,restart2-end
13,19,12,seed3-seed
14,19,16,seed3-greedy
15,19,19,seed3-swap
16,19,19,restart3-end
17,19,10,seed4-seed
18,19,16,seed4-greedy
19,19,19,seed4-swap
20,19,19,restart4-end
21,19,12,seed5-seed
22,19,18,seed5-greedy
23,19,19,seed5-swap
24,19,19,restart5-end
25,19,10,seed6-seed
26,19,17,seed6-greedy
27,19,19,seed6-swap
28,19,19,restart6-end
29,19,12,seed7-seed
30,19,14,seed7-greedy
31,19,19,seed7-swap
32,19,19,restart7-end
33,20,9,seed8-seed
34,20,18,seed8-greedy
35,20,20,seed8-swap
36,20,20,restart8-end
